ID,Tópico,Categoria,Titulo,Texto,Imagem_1,Legenda_1,Imagem_2,Legenda_2,Imagem_3,Legenda_3,Imagem_4,Legenda_4,Imagem_5,Legenda_5
,1,Origens,Piracicaba: Terra de Pioneiros,"Piracicaba se diferencia de muitas cidades do interior de São Paulo por não ter surgido de algum ponto de descanso das caravanas bandeirantes, de uma capela ou pouso de estrada. Desde o século XVII, a fertilidade da terra e a abundância da caça e da pesca nos chamados sertões de Piracicaba e Capivari atraíram muitos pioneiros, entre posseiros e sesmeiros, que forjaram a alma empreendedora da cidade. ",00_Quadro Alberto Thomazi - Museu Prudente de Moraes.JPG,"Mudança de povoação – 1784, 1967. Alberto Thomazi. Óleo sobre tela. Coleção M.H.P. Prudente de Moraes",,,,,,,,
,1.1,Origens,Caminhos do sertão,"No século XVII as bandeiras partiam da cidade de São Paulo rumo ao interior em busca de alternativas econômicas. No século seguinte, com a descoberta de ouro em Minas Gerais, Mato Grosso e Goiás, ganharam impulso as monções, expedições de caráter exploratório e povoador que seguiam por via fluvial para penetrar no sertão. A ocupação original de Piracicaba teve relação direta com esse movimento.","01_Almeida_Júnior_-_Partida_da_Monção,_1897 _Wikimedia.jpg","Partida da Monção, 1897. José Ferraz de Almeida Júnior. Óleo sobre tela, Acervo do Museu Paulista.",,,,,,,,
,1.1.1,Origens,A estrada é o rio,"O rio de Piracicaba/ Vai jorrar água pra fora / Quando chegar a água dos olhos de alguém que chora”... O Piracicaba é um rio cantado em prosa e verso, como a música Rio de Lágrimas, composta por Lourival dos Santos em 1970.
No século XVIII, o rio era rota fluvial para Mato Grosso e Paraná e muitas cidades nasceram às suas margens. No local onde surgiria a cidade de Piracicaba, existiam fabricantes de canoas que utilizavam a grande oferta de madeira na região.",02_Trecho_do_Mappa_da_Capitania_de_São_Paulo_c._1750.jpg,"Trecho do Mapa da Capitania de São Paulo, produzido na década de 1750, mostrando a ""Povoação Nova de Piracicaba"". 	Biblioteca Digital Luso-Brasileira.",03_Almeida_Júnior_-_Paisagem_do_Rio_Piracicaba.jpg,"Paisagem do Rio Piracicaba, data desconhecida. Óleo sobre tela. Acervo Masp.",,,,,,
,1.2,Origens,Fundação oficial,"Em 1766, o capitão-general de São Paulo, Dom Luís Antônio de Souza Botelho e Mourão, ou Morgado de Mateus, encarregou o capitão Antônio Corrêa Barbosa de fundar seis povoações ao longo do caminho para o sul, uma delas na foz do rio Piracicaba com o Tietê. Barbosa estabeleceu-se a cerca de 70 quilômetros rio acima, na margem direita, perto do salto, onde viviam vários sertanejos e índios Paiaguás e onde era mais fácil o acesso a outras vilas, principalmente Itu. 
Em 1º de agosto de 1767 era oficialmente fundada a povoação de Piracicaba, no local onde mais tarde seria erguido o Engenho Central.",03a_Antonio Corrêa Barbosa Museu Prudente de Moraes.JPG,"Archimedes Dutra. Capitão Antônio Correa Barbosa, 1967. Óleo sobre tela. Coleção M.H.P. Prudente de Moraes",,,,,,,,
,1.2.1,Origens,Morgado de Mateus,"O nobre português Morgado de Mateus governou a Capitania de São Paulo entre 1765 e 1775, com a missão de expandir fronteiras. Foi responsável por fundar pelo menos 20 cidades no Oeste Paulista, entre elas Campinas e Piracicaba.",03b_Morgado de Mateus. Imagem da internet.jpg,Autoria desconhecida. D. Luís Antônio de Sousa Botelho Mourão. Fonte: http://pedrodaveiga.blogspot.com.br/2009/05/descoberta-dos-campos-do-mourao.html ,,,,,,,,
,1.2.2,Origens,Centro abastecedor ,"Em 1784 o povoado de Piracicaba foi transferido para o lado esquerdo do rio, de onde poderia se integrar à fronteira agrícola do Oeste Paulista. A partir daí, a região foi dominada por grandes fazendas canavieiras e pequenas propriedades voltadas ao cultivo de café, arroz, feijão, milho, algodão e fumo, além de pastagens para criação de gado.","04_Henrique_Manzo_-_Fazenda_Monte_Alegre_-_Piracicaba,_1850,_Acervo_do_Museu_Paulist.jpg","Henrique Manzo. Fazenda Monte Alegre - Piracicaba, 1850. Óleo sobre tela. Acervo Museu Paulista.",,,,,,,,
,2,Origens,Cidade de Piracicaba,"Originalmente, o povoado de Piracicaba era vinculado a Itu. Em 1774 se transformou em Freguesia de Santo Antônio de Piracicaba, contando com cerca de 230 habitantes e 45 casas. Em 1822 foi elevada à vila – Vila Nova da Constituição –, até que em 24 de abril de 1856 ganhou o status de cidade, com o nome Constituição.",04a_Mapa de 1821 - Fonte - IPPLAP.JPG,"Vila Nova da Constituição, autoria desconhecida. Planta demarcada pelo rio Piracicaba e pelo córrego do Itapeva, 1821. Reprodução: Acervo Arquivo do Estado de São Paulo. Fonte: Acervo Histórico da Câmara de Vereadores de Piracicaba",,,,,,,,
,2.1,Origens,Onde o peixe para,"O nome Piracicaba – do tupi, pirá (peixe), syk (parar) e aba (lugar) – é uma referência às quedas d´água do rio que bloqueiam a migração dos peixes, também chamada de piracema. 
A cidade foi denominada Piracicaba em 1877, após petição do então vereador Prudente de Moraes, mais tarde o primeiro presidente civil do Brasil.",04b_Rio Piracicaba- vista do Mirante. Acervo Museu Prudente de Moraes.jpg,"Autoria desconhecida. Cartão postal do salto do rio Piracicaba, à direita, antigo Mirante e Engenho Central, c. 1910. Coleção M.H.P. Prudente de Moraes",,,,,,,,
,2.2,Origens,Autonomia administrativa,"Com a transformação em cidade, Piracicaba ganhou autonomia administrativa, separando-se das Vilas de Itu e Porto Feliz e implantando sua própria Câmara de Vereadores. O primeiro tributo estipulado pela municipalidade determinou que os proprietários de escravos pagassem o valor de 400 réis por escravo do sexo masculino maior de sete anos de idade.",04c_Camara_Municipal.jpg,"Autoria desconhecida. Cartão postal do Prédio da Câmara Municipal de Piracicaba em 1953. Fonte: Jornal A Província, 20/03/2013. Fonte: A primeira Câmara pós Proclamação da República - A Província - Paixão por Piracicaba (aprovincia.com.br)",,,,,,,,
,2.2.1,Origens,Pelourinho,"Como símbolo da autoridade civil e da independência administrativa de Piracicaba, foi instalado um pelourinho, coluna onde eram afixados avisos, convocações e editais e também onde criminosos e escravos eram expostos e castigados.
O pelourinho ficava na praça fronteiriça à igreja Matriz de Santo Antonio, hoje Praça José Bonifácio, onde mais tarde seria instalado o Teatro Santo Estevão. No seu entorno ficavam a Casa da Câmara e a Cadeia.",04d_Praca Jose Bonifacio 1.jpg,"Autoria desconhecida. Inauguração do sistema de água encanada no largo da Matriz (atual Praça José Bonifácio), 1887. Coleção M.H.P. Prudente de Moraes.",,,,,,,,
,,,,,,,,,,,,,,
,1,Consolidação,Riquezas da terra,"O cultivo da cana está intrinsecamente ligado à formação territorial paulista, desde o período colonial. A partir do século XVIII, apesar de Piracicaba se destacar como um município policultor, integrou uma mais importantes regiões canavieiras, o “Quadrilátero do Açúcar”, junto com Sorocaba, Mogi-Guaçu e Jundiaí.","05_Benedito_Calixto_de_Jesus_-_Moagem_de_Cana_-_Fazenda_Cachoeira_-_Campinas,_1830,_.jpg","Benedito Calixto. Moagem de Cana - Fazenda Cachoeira - Campinas, 1830. Óleo sobre tela. Acervo Museu Paulista.",,,,,,,,
,1.1,Consolidação,Capital do açúcar,"A fértil terra vermelha – ou “roxa”, que vem de “rossa” (vermelha em italiano) – atraiu para Piracicaba muitos fazendeiros entre o século XVIII e XIX. Em 1900, a cidade era a quarta maior do estado e liderava a produção de açúcar na América Latina. Em meados daquele século seria considerada a “Capital do Açúcar”, embora também se destacasse em outras culturas, como café.",06_Canavial_antigo.jpg,"Canavial antigo, situado provavelmente nos arredores da atual cidade de Paulínia-SP. Fonte Wikimedia (File:Canavial antigo.JPG - Wikimedia Commons)",06a_Canavial IHGP.jpg,"Lavoura de cana de açúcar. Carregamento manual dos feixes de cana no trem de carga, c. 1940. Acervo Instituto Histórico e Geográfico de Piracicaba.",,,,,,
,1.2,Consolidação,Engenhos,"No século XIX, com a ascensão do café e dos sistemas de produção apoiados na mão de obra imigrante, o governo imperial do Brasil estimulou a modernização do setor açucareiro com várias ações. A principal foi a instalação de grandes engenhos centrais, que utilizavam metodologia industrial para produzir com melhor qualidade e maior escala.","07_Engenho Central, de propriedade da Sucrerie de Piracicaba.jpg","Autoria Desconhecida. Cartão postal do Engenho Central de Piracicaba, ao fundo, Fábrica de Tecidos Arethusina e Usina Elétrica, c. 1900 Coleção M.H.P. Prudente de Moraes",,,,,,,,
,1.2.1,Consolidação,Engenho Central,"Com arquitetura majestosa às margens do rio Piracicaba, o Engenho Central foi construído pelo advogado e empresário Estêvão Ribeiro de Sousa Resende, o Barão de Resende, em 1881. As atividades industriais eram realizadas exclusivamente por trabalhadores assalariados e não por escravizados.
O Engenho foi vendido em 1899 para a Société de Sucreries Brésiliennes e em 1970 para Adolpho da Silva Gordo. Quatro anos depois, encerrou as atividades.",08_Engenho central 1.png,Autoria desconhecida. Engenho Central. Arquivo Histórico da Câmara. Fonte: Produção do Engenho Central - Câmara Municipal de Piracicaba (camarapiracicaba.sp.gov.br).,08a_Barão de Rezende - 1909 -  ACERVO MUSEU PRUDENTE DE MORAES.JPG,"Karr Estevão Ribeiro de Sousa Rezende, Barão de Rezende, benemérito que realizou feitorias à Piracicaba, com destaque para Cia. Navegação Fluvial e Engenho Central de Piracicaba, 1909. Acervo M.H.P. Prudente de MoraesAcervo M.H.P. Prudente de Moraes",,,,,,
,1.2.2,Consolidação,Engenho Monte Alegre,"Formada no início do século XIX, a Fazenda Monte Alegre era uma das mais produtivas propriedades agrícolas de Piracicaba. Seu Engenho foi instalado em 1887 pelos herdeiros do Marquês da Monte Alegre. 
Durante décadas, foi uma das maiores e mais modernas usinas do país. Além de açúcar e álcool, chegou a fabricar papel a partir do bagaço da cana na década de 1950.",09_Engenho Monte Alegre - Fonte - IHGP.jpg,"Usina Monte Alegre, c. 1945. Acervo Instituto Histórico e Geográfico de Piracicaba",,,,,,,,
,1.2.3,Consolidação,Trabalho escravo,"Enquanto outras cidades do interior paulista tornaram a cafeicultura sua atividade econômica principal no final do século XIX, Piracicaba priorizou a cana de açúcar. Assim, permaneceu também como um dos principais polos de escravidão no Oeste Paulista, embora nos engenhos centrais fosse obrigatória a utilização mão de obra assalariada.",10_As lavadeiras. IHGP.jpg,"Lavadeiras no rio Piracicaba, início séc. XX. Acervo Instituto Histórico e Geográfico de Piracicaba.",,,,,,,,
,2,Consolidação,A FORÇA DA INDÚSTRIA,"Ainda na passagem para o século XX, apesar de a base da economia de Piracicaba ser a agricultura, o setor industrial ganhou impulso. A cidade sediou importantes fábricas de tecidos, bebidas e alimentos, com destaque para as tecelagens, produção de cerveja, beneficiamento de arroz, torrefação de café e secadora de grãos, e ainda fabricação de louças de barro, calçados, sabão e massas.",10a_Fabrica Boyes.jpg,Fábrica de tecidos Boyes. Acervo do IHGP (Instituto Histórico e Geográfico de Piracicaba),,,,,,,,
,2.1,Consolidação,Fábrica Boyes,"A tecelagem foi o primeiro segmento industrial a se desenvolver no Brasil e o estado de São Paulo caminhou rapidamente para se posicionar entre os principais polos têxteis do país. 
Em 1874, a partir da iniciativa de Luiz de Queiroz, foi fundada a Fábrica de Tecidos Santa Francisca. Em 1902, Rodolpho Miranda adquiriu a fábrica, que foi rebatizada como Arethusina. Em 1927, passou à Cia Industria e Agrícola Boyes, tornando-se conhecida como Fábrica Boyes & Cia.",11_Fabrica de tecido Sta. Francisca - IPPLAP.JPG,"Fábrica de Tecidos Arethusina, 1911, depois chamada Boyes. Fonte: Ferraz, Mário Sampaio. Piracicaba e sua Escola Agrícola. s.l.: Bruxeles, 1912.",,,,,,,,
,2.1.1,Consolidação,Luiz de Queiroz,"Luís Vicente de Sousa Queiroz nasceu na capital paulista, em 1849. Era filho de Vicente de Sousa Queirós, o Barão de Limeira, e neto de Luís António de Sousa Queirós, o “Brigadeiro Luís Antônio”. Depois de cursar agricultura na Europa, Luiz de Queiroz herdou a fazenda Engenho d’Água, em Piracicaba e, a partir da década de 1870, tornou-se um dos principais empreendedores da cidade e uma liderança abolicionista de grande relevância.
Seu nome também é vinculado às primeiras experiências com telefonia, em 1882, e à arborização na cidade.",11a_Luis de Queiroz. Acervo da ESALQ.jpg,Luiz Vicente de Souza Queirós. Foto Valério Phot. Acervo da USP/ESALQ.,,,,,,,,
,2.2,Consolidação,Os imigrantes,"Entre 1889 e 1930 ingressaram no Brasil mais de 3,5 milhões de imigrantes, sendo que o estado de São Paulo recebeu pouco mais da metade desse contingente. Embora trabalhassem predominantemente nas lavouras, muitos estrangeiros dedicaram-se ao comércio, serviços e indústria, dinamizando a economia, em todo o país.
Piracicaba recebeu muitos imigrantes, em especial portugueses, italianos e sírio-libaneses.",12_familia stenico.jpg,"Família Stenico, uma das fundadoras do bairro Santa Olímpia, pertencente à colônia tirolesa de Piracicaba, chegaram à cidade em 1892. Foto do início do século XX. Acervo Associação de Santa Olímpia, Piracicaba (SP).",,,,,,,,
,2.2.1,Consolidação,Ajuda mútua,"Em todo o país, as comunidades imigrantes criaram instituições de ajuda mútua, seja para dar suporte aos recém-chegados ou proporcionar diversos tipos de serviços. 
Entre as décadas de 1880 e 1890 foram criadas em Piracicaba as sociedades beneficentes de italianos, portugueses, espanhóis e sírio-libaneses. Seguindo a mesma lógica, após a abolição da escravatura foi criada a Sociedade Beneficente Treze de Maio, voltada à população de origem africana.",12a_Sociedade Beneficiente Italiana (1).jpg,"Società Italiana de Mutuo Soccorso, s.d. Acervo Instituto Histórico e Geográfico de Piracicaba.",,,,,,,,
,2.3,Consolidação,Krahenbuhl ,"A Oficina Krahenbuhl é considerada a primeira indústria implantada em Piracicaba, em 9 de maio de 1870. Foi também a primeira metalúrgica da Província de São Paulo, fabricando troles, tílburis, charretes, carroças, carroções, jardineiras e carros fúnebres. Ficava instalada na antiga Rua do Comércio e dava fundos para o córrego Itapeva.
Mais de um século e meio depois, a empresa permanece ativa, atuando com comércio de produtos para manutenção industrial.",13_ Krahenbuhl.jpg,"Carroça Krahenbuhl, utilizada pela Fábrica de Tecidos Arethusina, s.d. Acervo: Krahenbuhl S/A",13a_Casa Krahenbuhl faixada - Acervo da Krahenbuhl.jpg,"Sede da oficina Irmãos Krahenbuhl, c. 1910. Acervo Krahenbuhl S/A Comércio e Importação",,,,,,
,2.4,Consolidação,Gengibirra do Orlando,"Fundada em 1913, a Fábrica de Refrigerantes Orlando é uma das pioneiras da indústria piracicabana, criadora de bebidas que se tornariam ícones no interior do país: a Etubaína e a Gengibirra Orlando.
A Gengibirra era distribuída exclusivamente na cidade em armazéns, mercados e residências, por meio de carroças ou carrinhos de mão. Apenas em 1937 passou a ser comercializada em cidades vizinhas.",14_gengibirra do orlando.jpg,"Anúncio publicado no semanário impresso “A Província”, edição de 23 a 29/outubro/1987. Fonte: Anúncios do passado (23) - Anúncios do passado - A Província (aprovincia.com.br)",15_Rotulos Gengibirra.jpg,"Rótulo dos refrigerantes Gengi-birra e Etubaina, s.d.",,,,,,
,3,Consolidação,ENTRE AS MAIS IMPORTANTES CIDADES PAULISTAS ,"Ao longo do tempo, Piracicaba se tornou uma cidade pujante e moderna, com uma série de novos equipamentos e serviços públicas – saneamento, urbanização, energia elétrica, água encanada, telefonia, lazer, educação, transportes e muito mais.
Os ares do progresso estimularam empreendedores, sobretudo imigrantes que dominavam diferentes ofícios, fazendo surgir diversos empreendimentos de serviço e de comércio, entre barbearias, restaurantes, mercearias, carpintarias, oficinas mecânicas, tabacarias e padarias. Piracicaba se posicionou, assim, entre as principais cidades do estado de São Paulo.",15a_Prudente de Moraes no trem.jpg,"Comitiva de empreendedores piracicabanos. Sentados, Prudente de Moraes, seus filhos, Paula e Antonio, e Senador Manoel de Moraes Barros, c. 1899. Coleção M.H.P. Prudente de Moraes",,,,,,,,
,3.1,Consolidação,Trilhos do progresso,"Em 1877, após a construção de uma nova ponte sobre o rio Piracicaba, chegou à cidade um ramal da Companhia Ituana de Estrada de Ferro. O trem modernizou o sistema de transportes de mercadorias e passageiros, até então realizado por tropas, facilitando o acesso às cidades servidas pela Cia. Paulista de Estradas de Ferro, Mogiana e Sorocabana, sobretudo a capital e porto de Santos.",16 - O trem. Foto IHGP.JPG,"Trem de carga, c. 1900. Acervo Instituto Histórico e Geográfico de Piracicaba",16a - Estação ferroviaria Ituana. IHGP.JPG,Funcionários da Estação Ferroviária Ituana. Acervo Instituto Histórico e Geográfico de Piracicaba,17_Ponte Nova  acervo Museu Prudente.jpg,"Cartão postal da ponte Nova – Piracicaba, c. 1920. Coleção M.H.P. Prudente de Moraes.",,,,
,3.2,Consolidação,Eletricidade,"Para movimentar os teares da Fábrica de Tecidos Santa Francisca foi instalada uma usina aproveitando o potencial hidráulico das águas do salto do rio Piracicaba. O excedente de energia gerada possibilitou a implantação de um moderno sistema de iluminação pública na região central da cidade, que substituiu os lampiões a gás muito antes da capital paulista.",18_Usina elétrica. Fonte Museu H. P. Prudente de Moraes.jpg,Usina de Energia Elétrica construída em 1893 por Luiz de Queiroz. Início séc. XX. Coleção M.H.P. Prudente de Moraes,,,,,,,,
,3.3,Consolidação,Saneamento e saúde pública,"Em 1887, o processo de urbanização de Piracicaba deu importante passo com a inauguração dos serviços de canalização da água e do Mercado Municipal, um projeto do vereador Manoel de Moraes Barros. O Mercado foi construído sob os cuidados do engenheiro Miguel Asmussen e foi inaugurado em 1888 por Prudente de Moraes, na época deputado provincial. 
Já o Matadouro Modelo foi construído em 1913 e considerado importante marco da modernização da cidade. Funcionou até 1973.",19_Mercado Municipal. IPPLAP.jpg,"Mercado Municipal de Piracicaba, c. 1900. Acervo Instituto Histórico e Geográfico de Piracicaba.",19a_ Matadouro. Museu H. P. Prudente de Moraes.jpg,"Cartão postal do Matadouro de Piracicaba, c. 1920. Acervo Instituto Histórico e Geográfico de Piracicaba.",,,,,,
,3.4,Consolidação,Educação ,"Piracicaba também se notabilizou pelo investimento na educação pública, ainda no final do século XIX. Em 1897 foram abertos o Grupo Escolar de Piracicaba (atual E. E. Barão do Rio Branco) e a Escola Normal de Piracicaba (atual E. E. Sud Mennucci). Logo a seguir, vieram o Grupo Escolar Moraes Barros (1904) e diversas escolas rurais, fazendo com que, em 1910, a cidade tivesse o segundo maior número de escolas no estado, atrás apenas da capital.",20_Martha Watts - Centro Cultural Martha Watts.jpeg,"Miss Martha Watts, missionária metodista, fundou o Colégio Piracicabano,  c. 1888. Rio de Janeiro. Acervo CCMW/IEP.",20a_Colégio Piracicabano - IHGP.jpg,"Cartão postal do Colégio Piracicabano, ao fundo, Capela Trinity, c. 1890. Acervo CCMW/IEP.",21_Grupo Escolar Barão do Rio Branco - Acervo IHGP (2).jpg,"Cartão postal do Grupo Escolar Barão do Rio Branco, década de 1930. Acervo Instituto Histórico e Geográfico de Piracicaba.",,,,
,3.4.1,Consolidação,Pesquisa ,"No final do século XIX, como líder na produção canavieira, Piracicaba ganhou centralidade. Além do fomento à indústria de equipamentos, a cidade recebeu órgãos de pesquisa relacionados à Secretaria de Agricultura, organizada em 1892, com destaque para a Escola de Agronomia do Estado, fundada em 1901 e mais tarde rebatizada como Escola Superior de Agricultura Luiz de Queiroz (ESALQ-USP). Algum tempo depois, a cidade também sediaria a Estação Experimental de Cana, criada em 1928.",22_Predio Antigo Acervo ESALQ.jpg,"Edifício principal da Escola Agrícola Prática de Piracicaba, atual Escola Superior de Agricultura “Luiz de Queiroz”, c. 1910. Acervo da USP/ESALQ",,,,,,,,
,3.4.2,Consolidação,ESALQ,"Como grande empreendedor de Piracicaba e entusiasta da ciência, Luiz de Queiroz lançou a ideia de criação na cidade de uma escola de agronomia, com vistas a modernizar a agricultura brasileira. Para tanto, em 1889 comprou a fazenda São João da Montanha, nas imediações da cidade. 
Ainda que várias dificuldades tenham o impedido de levar adiante  o sonho, ele acabou realizado por meio da Secretaria de Agricultura do Governo de São Paulo.",22a_ESALQ sala de aula. Foto ESALQ.jpg,"Sala de aula da Escola Superior de Agricultura “Luiz de Queiroz”, c. 1940. Acervo da USP/ESALQ.",,,,,,,,
,3.5,Consolidação,Empreendedorismo no comércio e serviços,"Sob a liderança de famílias empreendedoras, os setores de comércio e serviços de Piracicaba cresceram e se diversificaram a partir do final do século XIX. Os serviços também atendiam as necessidades da época, contando com hotel, teatro, Santa Casa, restaurantes, botequins, tipografias e jornais.",23_rua do Comércio - Acervo IHGP (2).jpg,"Estabelecimento comercial ‘Photographia Vienna’, localizado na rua do Comércio com a rua Treze de Maio, c. 1910. Foto José Bidschovsky. Acervo Instituto Histórico e Geográfico de Piracicaba.",23a Jornal de Piracicaba. IHGP.jpg,"Sede do Jornal de Piracicaba, localizada na Rua Direita, atual Moraes Barros, início séc. XX. Acervo Instituto Histórico e Geográfico de Piracicaba.",23a1_Gazeta de Piracicaba. IHGP.jpg,"Propaganda do Jornal “Gazeta de Piracicaba”, órgão republicano fundado em 1882, c. 1890. Acervo Instituto Histórico e Geográfico de Piracicaba.",23b_ Teatro Sto. Estevão. IHGP.JPG,"Teatro Santo Estevão, década de 1940. Acervo Instituto Histórico e Geográfico de Piracicaba.",23c_Santa Casa. Foto ESALQ.jpg,"Santa Casa de Misericórdia de Piracicaba, fundada em 1883, com auxílio da população e contribuições dos empresários locais, década de 1930. Acervo da ESALQ/USP."
,3.5.1,Consolidação,Rua do Comércio ,"A principal rua comercial de Piracicaba começou a se configurar ainda no início do século XIX e, justamente por isso, foi chamada de Rua do Comércio. Abrigava vários dos mais tradicionais empreendimentos da cidade, como Padaria Azzi, O Vesúvio, Carpintaria Colombo, Relojoaria Gatti, Alfaiataria Scaranari, Casa Falanghe, Dois Martelos, Duas Ancoras, Casa Krahenbuhl, Elias Daibes e Irmãos, Casa Vicente Rando, Loja do Sol, A Porta Larga e Foto Bischoff. 
A Rua do Comércio passou a ser denominada rua João Pessoa e, a partir de 1935, rua Governador Pedro de Toledo.","24_Rua do Comércio, final do Séc. XIX Arquivo Histórico da Câmara..jpg","Estabelecimentos comerciais na rua do Comércio, c. 1910. Acervo Instituto Histórico e Geográfico de Piracicaba
",,,,,,,,
